url,career_cluster,career_pathway,SOC,job_title,title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,income,csm.Title,csm.O.NET.SOC.Code,csm.degree,csm.closeness,csm.betweenness,ccm.Title,ccm.O.NET.SOC.Code,ccm.degree,ccm.closeness,ccm.betweenness
https://www.onetonline.org/link/details/11-9111.00,Health Science,Support Services,11-9111.00,Medical and Health Services Managers,11-9111.00 - Medical and Health Services Managers,11,67,100,39,11,67,96540,Medical and Health Services Managers,11-9111.00,15,0.000257666,484.7805835,Medical and Health Services Managers,11-9111.00,11,0.000258665,1662.709947
https://www.onetonline.org/link/details/11-9121.00,"Agriculture, Food & Natural Resources",Natural Resources Systems,11-9121.00,Natural Sciences Managers,11-9121.00 - Natural Sciences Managers,6,33,100,72,33,11,119850,Natural Sciences Managers,11-9121.00,11,0.000265887,801.2992609,Natural Sciences Managers,11-9121.00,12,0.000260485,1090.21866
https://www.onetonline.org/link/details/11-9121.01,"Agriculture, Food & Natural Resources",Natural Resources Systems,11-9121.01,Clinical Research Coordinators,11-9121.01 - Clinical Research Coordinators,28,56,89,72,6,17,119850,Clinical Research Coordinators,11-9121.01,18,0.000288517,1180.13973,Clinical Research Coordinators,11-9121.01,11,0.000278629,796.3841323
https://www.onetonline.org/link/details/11-9121.02,"Agriculture, Food & Natural Resources",Natural Resources Systems,11-9121.02,Water Resource Specialists,11-9121.02 - Water Resource Specialists,17,50,56,95,28,11,119850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9131.00,Government & Public Administration,Public Management and Administration,11-9131.00,Postmasters and Mail Superintendents,11-9131.00 - Postmasters and Mail Superintendents,0,78,100,11,33,56,71670,Postmasters and Mail Superintendents,11-9131.00,14,0.000282486,420.6435368,Postmasters and Mail Superintendents,11-9131.00,11,0.000314564,866.9812904
https://www.onetonline.org/link/details/11-9141.00,Marketing,Marketing Management,11-9141.00,"Property, Real Estate, and Community Association Managers","11-9141.00 - Property, Real Estate, and Community Association Managers",6,78,100,0,33,45,57040,"Property, Real Estate, and Community Association Managers",11-9141.00,16,0.000283527,283.7869345,"Property, Real Estate, and Community Association Managers",11-9141.00,11,0.000291036,142.6801898
https://www.onetonline.org/link/details/11-9151.00,Human Services,Family & Community Services,11-9151.00,Social and Community Service Managers,11-9151.00 - Social and Community Service Managers,28,39,95,6,0,83,64680,Social and Community Service Managers,11-9151.00,23,0.000281294,2373.024427,Social and Community Service Managers,11-9151.00,10,0.000263227,294.7800364
https://www.onetonline.org/link/details/11-9161.00,Government & Public Administration,Public Management and Administration,11-9161.00,Emergency Management Directors,11-9161.00 - Emergency Management Directors,17,45,78,33,45,89,70500,Emergency Management Directors,11-9161.00,19,0.000295421,3696.560055,Emergency Management Directors,11-9161.00,11,0.000293255,1638.518391
https://www.onetonline.org/link/details/11-9199.01,Business Management & Administration,General Management,11-9199.00,"Managers, All Other",11-9199.01 - Regulatory Affairs Managers,11,72,100,17,11,39,104970,Regulatory Affairs Managers,11-9199.01,33,0.00029656,2064.625122,Regulatory Affairs Managers,11-9199.01,10,0.000258198,68.53177684
https://www.onetonline.org/link/details/11-9199.01,Business Management & Administration,General Management,11-9199.01,Regulatory Affairs Managers,11-9199.01 - Regulatory Affairs Managers,11,72,100,17,11,39,104970,Regulatory Affairs Managers,11-9199.01,33,0.00029656,2064.625122,Regulatory Affairs Managers,11-9199.01,10,0.000258198,68.53177684
